tradeoff	uninfected	susceptible_drugA	susceptible_drugB	resistantA_drugA	resistantA_drugB	resistantB_drugA	resistantB_drugB	multiResist_drugA	multiResist_drugB
0.25	0.31746376329107884	2.062336667701266E-6	2.062336667701266E-6	9.545810707589012E-6	4.77338374305407E-6	4.77338374305407E-6	9.545810707589012E-6	0.3412517368039998	0.3412517368039998
0.24	0.31566001094162655	2.0460418339196393E-6	2.0460418339196393E-6	9.257053481959392E-6	4.628932468301828E-6	4.628932468301828E-6	9.257053481959392E-6	0.34215406252264996	0.34215406252264996
0.22999999999999998	0.3138766398889085	2.0302645838615937E-6	2.0302645838615937E-6	8.989446029566296E-6	4.4950684810797175E-6	4.4950684810797175E-6	8.989446029566296E-6	0.34304616528914206	0.34304616528914206
0.21999999999999997	0.3121133067190466	2.014980642003262E-6	2.014980642003262E-6	8.740763512636035E-6	4.370677129764051E-6	4.370677129764051E-6	8.740763512636035E-6	0.3439282202161658	0.3439282202161658
0.20999999999999996	0.3103696755799493	2.000167228298613E-6	2.000167228298613E-6	8.50908053056234E-6	4.254793900223274E-6	4.254793900223274E-6	8.50908053056234E-6	0.34480039820001546	0.34480039820001546
0.19999999999999996	0.3086454181256871	1.9858029442545865E-6	1.9858029442545865E-6	8.29272261899752E-6	4.1465800867330835E-6	4.1465800867330835E-6	8.29272261899752E-6	0.34566286584660294	0.34566286584660294
0.18999999999999995	0.3069402131617677	1.971867668298346E-6	1.971867668298346E-6	8.090226862809885E-6	4.0453030309982235E-6	4.0453030309982235E-6	8.090226862809885E-6	0.3465157859809617	0.3465157859809617
0.17999999999999994	0.30525374675428113	1.9583424648094067E-6	1.9583424648094067E-6	7.900309673379478E-6	3.950319958962491E-6	3.950319958962491E-6	7.900309673379478E-6	0.34735931764649164	0.34735931764649164
0.16999999999999993	0.3035857116505419	1.9452094949001783E-6	1.9452094949001783E-6	7.721840276533668E-6	3.861064678097232E-6	3.861064678097232E-6	7.721840276533668E-6	0.3481936160773381	0.3481936160773381
0.16000000000000003	0.30193580735751313	1.9324519405337255E-6	1.9324519405337255E-6	7.55381873318661E-6	3.7770365589625312E-6	3.7770365589625312E-6	7.55381873318661E-6	0.3490188329754964	0.3490188329754964
0.15000000000000002	0.30030373993977977	1.9200539309593876E-6	1.9200539309593876E-6	7.3953576495854475E-6	3.6977913634550974E-6	3.6977913634550974E-6	7.3953576495854475E-6	0.349835116866188	0.349835116866188
0.14	0.29868922152025923	1.9080004782456608E-6	1.9080004782456608E-6	7.245666854832012E-6	3.622933558054741E-6	3.622933558054741E-6	7.245666854832012E-6	0.35064261265140945	0.35064261265140945
0.13	0.29709197077147476	1.8962774153062482E-6	1.8962774153062482E-6	7.1040405052417355E-6	3.5521098507004837E-6	3.5521098507004837E-6	7.1040405052417355E-6	0.35144146221519384	0.35144146221519384
0.12	0.2955117120184501	1.8848713418725973E-6	1.8848713418725973E-6	6.969846176670031E-6	3.485003726930949E-6	3.485003726930949E-6	6.969846176670031E-6	0.3522318042778065	0.3522318042778065
0.10999999999999999	0.2939481756140134	1.8737695726376277E-6	1.8737695726376277E-6	6.842515616475433E-6	3.421330803034283E-6	3.421330803034283E-6	6.842515616475433E-6	0.3530137745985101	0.3530137745985101
0.09999999999999998	0.2924010974765484	1.8629600901401823E-6	1.8629600901401823E-6	6.721536824766482E-6	3.3608348727127807E-6	3.3608348727127807E-6	6.721536824766482E-6	0.35378750594168346	0.35378750594168346
0.08999999999999997	0.290870219079182	1.8524315006406984E-6	1.8524315006406984E-6	6.606447307668754E-6	3.3032845120605403E-6	3.3032845120605403E-6	6.606447307668754E-6	0.35455312830149033	0.35455312830149033
0.07999999999999996	0.2893552873506965	1.8421729964403648E-6	1.8421729964403648E-6	6.496828249674921E-6	3.2484701680265775E-6	3.2484701680265775E-6	6.496828249674921E-6	0.35531076882415225	0.35531076882415225
0.06999999999999995	0.28785605447018525	1.832174316306156E-6	1.832174316306156E-6	6.392299500590446E-6	3.1962016429057567E-6	3.1962016429057567E-6	6.392299500590446E-6	0.35606055211701354	0.35606055211701354
0.05999999999999994	0.2863722775143923	1.8224257127259638E-6	1.8224257127259638E-6	6.292515229842984E-6	3.1463059198933866E-6	3.1463059198933866E-6	6.292515229842984E-6	0.356802599973885	0.356802599973885
0.04999999999999993	0.28490371885568244	1.8129179197146986E-6	1.8129179197146986E-6	6.1971601505825395E-6	3.0986252715155773E-6	3.0986252715155773E-6	6.1971601505825395E-6	0.3575370318722536	0.3575370318722536
0.040000000000000036	0.2834501454844978	1.8036421227767143E-6	1.8036421227767143E-6	6.105946238484981E-6	3.0530156127947457E-6	3.0530156127947457E-6	6.105946238484981E-6	0.3582639646928286	0.3582639646928286
0.030000000000000027	0.28201132919038163	1.7945899335576216E-6	1.7945899335576216E-6	6.018609849768914E-6	3.0093450616692535E-6	3.0093450616692535E-6	6.018609849768914E-6	0.35898351289607844	0.35898351289607844
0.020000000000000018	0.28058704640119186	1.7857533627450442E-6	1.7857533627450442E-6	5.934909207572326E-6	2.9674926794977388E-6	2.9674926794977388E-6	5.934909207572326E-6	0.3596957886871621	0.3596957886871621
0.010000000000000009	0.2791770780228451	1.7771247966429662E-6	1.7771247966429662E-6	5.854622181646668E-6	2.9273473578885664E-6	2.9273473578885664E-6	5.854622181646668E-6	0.3604009018887093	0.3604009018887093
